latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.81,114.527,308.1,2,1.4,2021-02-22,0340,T,66,6.0NRT,286.7,20.8,D
34.822,112.015,301.6,1.4,1.2,2021-02-22,0340,T,33,6.0NRT,285,4.6,D
34.285,113.457,310.6,1.7,1.3,2021-02-22,0340,T,69,6.0NRT,292.2,16.6,D
34.281,113.475,305.3,1.7,1.3,2021-02-22,0340,T,59,6.0NRT,292.3,8.6,D
34.273,113.467,307.3,1.7,1.3,2021-02-22,0340,T,45,6.0NRT,293.4,9.4,D
34.34,112.764,312.4,1.6,1.2,2021-02-22,0340,T,69,6.0NRT,292.6,16.7,D
34.279,112.83,306.1,1.6,1.2,2021-02-22,0340,T,60,6.0NRT,292.5,8.4,D
33.785,112.735,313.2,1.6,1.2,2021-02-22,0340,T,54,6.0NRT,297,14.6,D
33.601,113.08,306.3,1.7,1.3,2021-02-22,0340,T,56,6.0NRT,294.6,8.3,D
33.606,112.45,306,1.6,1.2,2021-02-22,0340,T,60,6.0NRT,292.4,9.7,D
33.388,112.981,328,1.7,1.3,2021-02-22,0340,T,85,6.0NRT,296.3,50.7,D
33.384,113,329.2,1.7,1.3,2021-02-22,0340,T,85,6.0NRT,297.3,54,D
33.376,112.98,338.5,1.7,1.3,2021-02-22,0340,T,91,6.0NRT,297.3,82.1,D
33.373,112.998,340.7,1.7,1.3,2021-02-22,0340,T,92,6.0NRT,298,89.8,D
33.306,112.496,308.4,1.6,1.2,2021-02-22,0340,T,62,6.0NRT,297.2,8.2,D
32.813,113.801,307.7,2,1.4,2021-02-22,0340,T,49,6.0NRT,296.1,11,D
32.809,113.821,312.4,2,1.4,2021-02-22,0340,T,67,6.0NRT,296.7,19.8,D
30.804,109.721,300.7,1.2,1.1,2021-02-22,0340,T,23,6.0NRT,289.7,4.8,D
31.114,105.374,304.3,1,1,2021-02-22,0340,T,57,6.0NRT,292,4.2,D
30.673,108.016,307.4,1.1,1,2021-02-22,0340,T,65,6.0NRT,292.5,6.5,D
30.501,106.74,305.4,1,1,2021-02-22,0340,T,54,6.0NRT,293.2,4.4,D
30.188,107.984,304,1.1,1,2021-02-22,0340,T,57,6.0NRT,292.7,5.1,D
29.781,107.043,305.4,1,1,2021-02-22,0340,T,37,6.0NRT,293.7,4.3,D
29.8,106.675,307.9,1,1,2021-02-22,0340,T,50,6.0NRT,294,3.7,D
29.799,106.685,308.5,1,1,2021-02-22,0340,T,55,6.0NRT,293.6,4.3,D
29.644,107.267,303.8,1,1,2021-02-22,0340,T,55,6.0NRT,292.5,4.1,D
29.594,106.759,304,1,1,2021-02-22,0340,T,51,6.0NRT,292.5,3.8,D
28.947,108.154,300.4,1.1,1.1,2021-02-22,0340,T,9,6.0NRT,289,2.6,D
28.371,111.102,304.8,1.6,1.3,2021-02-22,0340,T,56,6.0NRT,292.3,9.5,D
28.721,109.007,305.5,1.2,1.1,2021-02-22,0340,T,61,6.0NRT,295.2,7.1,D
28.021,112.795,301.9,2.2,1.4,2021-02-22,0340,T,35,6.0NRT,286.7,5.1,D
